ID;LAT;LNG;BANCO;RED;DOM_GEO;TERMINALES;BARRIO;RED_CODE;RETIROS;RECARGAS
115;-34.599764474744596;-58.39098986400194;BANCO MACRO;BANELCO;1674 CORDOBA AV.;1;SAN NICOLAS;1;0;1000
116;-34.59990713228588;-58.39700806131058;BANCO GALICIA;BANELCO;2090 CORDOBA AV.;3;BALVANERA;1;0;3000
117;-34.59988413152765;-58.39922580666778;BANCO PATAGONIA;BANELCO;2240 CORDOBA AV.;3;BALVANERA;1;0;3000
118;-34.59848006435688;-58.40327275878108;BANCO MACRO;BANELCO;2571 CORDOBA AV.;2;RECOLETA;1;0;2000
119;-34.597805703738615;-58.41228097776767;BANCO GALICIA;BANELCO;3227 CORDOBA AV.;3;RECOLETA;1;0;3000
120;-34.59826962534723;-58.37191743574714;BANCO SUPERVIELLE;BANELCO;331 CORDOBA AV.;1;RETIRO;1;0;1000
121;-34.597966751201234;-58.41907684352086;BANCO GALICIA;BANELCO;3710 CORDOBA AV.;1;ALMAGRO;1;0;1000
122;-34.59359921807279;-58.430782315489964;BBVA-BANCO FRANCES;BANELCO;4675 CORDOBA AV.;2;PALERMO;1;0;2000
123;-34.59140234279113;-58.434782289190494;BANCO SANTANDER RIO;BANELCO;5030 CORDOBA AV.;3;VILLA CRESPO;1;0;3000
124;-34.59883805848775;-58.37467999130131;HSBC ARGENTINA;BANELCO;544 CORDOBA AV.;1;SAN NICOLAS;1;0;1000
125;-34.59856034997309;-58.375882101265674;ICBC;BANELCO;633 CORDOBA AV.;2;RETIRO;1;0;2000
126;-34.59864403279655;-58.37669174746979;BANCO GALICIA;BANELCO;699 CORDOBA AV.;3;RETIRO;1;0;3000
127;-34.59882681833657;-58.37962391518417;HSBC ARGENTINA;BANELCO;899 CORDOBA AV.;4;RETIRO;1;0;4000
128;-34.58956047849759;-58.4107807628293;BANCO GALICIA;BANELCO;1854 DIAZ, CNEL. AV.;4;PALERMO;1;0;4000
129;-34.58615274796457;-58.40778877041453;BBVA-BANCO FRANCES;BANELCO;2257 DIAZ, CNEL. AV.;1;RECOLETA;1;0;1000
130;-34.603933602744604;-58.3824016719718;BBVA-BANCO FRANCES;BANELCO;1102 CORRIENTES AV.;2;SAN NICOLAS;1;0;2000
131;-34.60393740193291;-58.382523121314584;BANCO SANTANDER RIO;BANELCO;1118 CORRIENTES AV.;3;SAN NICOLAS;1;0;3000
132;-34.60386327242256;-58.38679961675253;BBVA-BANCO FRANCES;BANELCO;1401 CORRIENTES AV.;3;SAN NICOLAS;1;0;3000
133;-34.603848340360884;-58.38697806141473;BANCO SANTANDER RIO;BANELCO;1427 CORRIENTES AV.;3;SAN NICOLAS;1;0;3000
134;-34.60434578014255;-58.38869780748324;BANCO PATAGONIA;BANELCO;1556 CORRIENTES AV.;3;SAN NICOLAS;1;0;3000
135;-34.60430122746994;-58.392540631990855;CITIBANK;BANELCO;1801 CORRIENTES AV.;2;BALVANERA;1;0;2000
136;-34.604384734623515;-58.397797336615106;BANCO PATAGONIA;BANELCO;2171 CORRIENTES AV.;2;BALVANERA;1;0;2000
137;-34.60474352793066;-58.39835762691889;BANCO GALICIA;BANELCO;2202 CORRIENTES AV.;2;BALVANERA;1;0;2000
138;-34.60442732707503;-58.39884861243321;BBVA-BANCO FRANCES;BANELCO;2249 CORRIENTES AV.;1;BALVANERA;1;0;1000
139;-34.604436826590806;-58.39906628951914;ICBC;BANELCO;2267 CORRIENTES AV.;2;BALVANERA;1;0;2000
140;-34.60486376634965;-58.401168445707796;BANCO SANTANDER RIO;BANELCO;2426 CORRIENTES AV.;2;BALVANERA;1;0;2000
141;-34.60487768205307;-58.40161545989876;HSBC ARGENTINA;BANELCO;2462 CORRIENTES AV.;2;BALVANERA;1;0;2000
142;-34.60424986759725;-58.4096047074717;BANCO GALICIA;BANELCO;3148 CORRIENTES AV.;2;BALVANERA;1;0;2000
143;-34.60424107178144;-58.4097418509297;HSBC ARGENTINA;BANELCO;3158 CORRIENTES AV.;1;BALVANERA;1;0;1000
144;-34.60399296318001;-58.41299266693748;BBVA-BANCO FRANCES;BANELCO;3399 CORRIENTES AV.;3;BALVANERA;1;0;3000
145;-34.603294927931486;-58.37195663064147;ICBC;BANELCO;366 CORRIENTES AV.;3;SAN NICOLAS;1;0;3000
146;-34.60381193879429;-58.41659615749331;BANCO ITAU;BANELCO;3684 CORRIENTES AV.;3;ALMAGRO;1;0;3000
147;-34.603245580765005;-58.41844678195384;ICBC;BANELCO;3829 CORRIENTES AV.;2;ALMAGRO;1;0;2000
148;-34.60330933833619;-58.37235283202473;BANCO PATAGONIA;BANELCO;400 CORRIENTES AV.;3;SAN NICOLAS;1;0;3000
149;-34.60314023093797;-58.423134442525516;BANCO SANTANDER RIO;BANELCO;4136 CORRIENTES AV.;3;ALMAGRO;1;0;3000
150;-34.60311670246791;-58.423371475202856;BANCO GALICIA;BANELCO;4152 CORRIENTES AV.;4;ALMAGRO;1;0;4000
151;-34.603007555563536;-58.42447089975528;BANCO MACRO;BANELCO;4222 CORRIENTES AV.;2;ALMAGRO;1;0;2000
152;-34.602389361370236;-58.430646756597305;BANCO SANTANDER RIO;BANELCO;4626 CORRIENTES AV.;4;ALMAGRO;1;0;4000
153;-34.60222321216771;-58.43203979138918;BBVA-BANCO FRANCES;BANELCO;4694 CORRIENTES AV.;3;ALMAGRO;1;0;3000
154;-34.60340266533049;-58.37373796710765;HSBC ARGENTINA;BANELCO;500 CORRIENTES AV.;2;SAN NICOLAS;1;0;2000
155;-34.600445272137776;-58.43764072812905;BANCO SANTANDER RIO;BANELCO;5100 CORRIENTES AV.;3;VILLA CRESPO;1;0;3000
